Price,Close,High,Low,Open,Volume
Ticker,COPX,COPX,COPX,COPX,COPX
Date,,,,,
2010-04-20,31.205854415893555,31.673516966408915,31.142082127049765,31.673516966408915,1933
2010-04-21,30.716934204101562,31.24836907062939,30.631905382302012,31.035795664621762,2900
2010-04-22,30.5468692779541,30.58938232720977,30.121719864279385,30.58938232720977,3600
2010-04-23,30.653162002563477,30.653162002563477,30.291787481584564,30.440588595927792,1100
2010-04-26,31.120819091796875,31.801057657330155,30.610643546418217,31.801057657330155,3600
2010-04-27,29.569034576416016,30.61064774198412,29.569034576416012,30.504359691327917,6733
2010-04-28,29.632797241210938,29.930402064573173,29.271422851788795,29.930402064573173,5133
2010-04-29,29.65406036376953,29.887892970102875,29.65406036376953,29.887892970102875,18133
2010-04-30,28.95256996154785,30.142984196605422,28.952569961547848,30.142984196605422,13467
2010-05-03,28.527420043945312,29.01634180991607,28.293590127930095,28.591192330679878,1633
2010-05-04,26.699283599853516,27.99598305925306,26.444194472622897,27.99598305925306,3633
2010-05-05,26.21036720275879,26.52922594075162,25.36007092773744,25.508872032536406,2067
2010-05-06,24.9561824798584,26.189109870481847,24.14840190606699,26.104081047718946,1967
2010-05-07,24.892406463623047,25.487613539967295,24.44600048061058,25.487613539967295,2800
2010-05-10,26.95438003540039,27.039408866525992,26.78431967013138,26.933120800355635,2500
2010-05-11,26.57174301147461,26.869345235754736,26.57174301147461,26.720544123614673,1767
2010-05-12,26.826828002929688,26.933113336628356,26.592995403361915,26.933113336628356,32733
2010-05-13,27.01814079284668,27.46454399282421,26.975625043936923,27.33700215212824,2600
2010-05-14,25.955276489257812,26.46545206117985,25.615158540304062,26.46545206117985,3967
2010-05-17,24.87114715576172,26.274137383681683,24.190911271508913,26.274137383681683,2333
2010-05-18,24.25468635559082,25.48761640332101,24.254686355590824,25.48761640332101,3500
2010-05-19,23.446903228759766,23.68073313264419,22.872952677924495,23.59570432241505,767
2010-05-20,22.192718505859375,22.957985966138764,21.916372823986492,22.957985966138764,2333
2010-05-21,23.531932830810547,23.59570511638255,23.12804258986027,23.12804258986027,1400
2010-05-24,23.446903228759766,23.82953692931661,23.446903228759766,23.78702117269347,1067
2010-05-25,23.128042221069336,23.128042221069336,22.04391608664958,22.21397506162702,5267
2010-05-26,23.914566040039062,24.12713941979153,23.89330951296897,24.042110608493978,967
2010-05-27,25.530122756958008,25.530122756958008,24.786114699087317,24.786114699087317,2433
2010-05-28,24.977436065673828,25.190009449033568,24.7861192097449,25.190009449033568,1600
2010-06-01,24.594799041748047,24.764859347344935,23.38312848705212,23.38312848705212,733
2010-06-02,24.9561824798584,24.9561824798584,24.573548722899034,24.573548722899034,700
2010-06-03,24.53103256225586,25.48761693914394,24.23343033590234,25.48761693914394,8600
2010-06-04,23.043010711669922,23.80827533372392,22.979238434580683,23.80827533372392,2133
2010-06-07,22.2352294921875,23.78701935085857,22.17145856515411,23.78701935085857,8733
2010-06-08,22.830440521240234,22.830440521240234,22.299004354641415,22.532835619220755,1967
2010-06-09,22.936723709106445,23.616962262852965,22.936723709106445,23.574446508550995,8633
2010-06-10,24.25468635559082,24.36097440734974,23.78702379328298,23.78702379328298,1833
2010-06-11,24.233427047729492,24.531029233702117,24.14839823788262,24.531029233702117,3433
2010-06-14,25.083721160888672,25.3388075691309,24.99868965512436,25.27503529131612,800
2010-06-15,25.402587890625,25.402587890625,24.998697570912608,25.381331358961535,4100
2010-06-16,25.466354370117188,25.55138588337869,25.041207615878246,25.19000870956016,3767
2010-06-17,25.019948959350586,25.38132339939145,25.019948959350586,25.19000656536385,1367
2010-06-18,25.211265563964844,26.274135052435195,23.787018935725115,26.274135052435195,1667
2010-06-21,25.636415481567383,26.571740532054317,25.636415481567383,26.571740532054317,4700
2010-06-22,24.977436065673828,25.657671973631878,24.977436065673828,25.42384206284133,1367
2010-06-23,24.82863426208496,26.10407722901719,24.44600056110015,26.10407722901719,3667
2010-06-24,24.82863426208496,24.82863426208496,24.82863426208496,24.82863426208496,0
2010-06-25,24.339710235595703,24.828631930842192,24.12713687823574,24.828631930842192,1267
2010-06-28,24.233427047729492,24.36097161400837,24.233427047729492,24.36097161400837,200
2010-06-29,22.745407104492188,23.850792400621632,22.70289405276757,23.850792400621632,4367
2010-06-30,22.0864315032959,22.766668785845116,22.0864315032959,22.745409554675696,1233
2010-07-01,22.0864315032959,22.128945911108772,21.257393117647307,22.0014013361615,9500
2010-07-02,22.34151840209961,22.34151840209961,22.2139738400035,22.34151840209961,1400
2010-07-06,22.554088592529297,23.00049314544186,22.511574194991987,22.511574194991987,1433
2010-07-07,23.7445011138916,23.7445011138916,22.830435487755956,22.830435487755956,1133
2010-07-08,23.723247528076172,23.829535562026866,23.723247528076172,23.829535562026866,200
2010-07-09,24.72234535217285,24.78611763342678,24.127138294808525,24.127138294808525,5167
2010-07-12,24.80738067626953,24.80738067626953,24.80738067626953,24.80738067626953,67
2010-07-13,25.317550659179688,25.360066411415286,24.679830593746942,24.679830593746942,2567
2010-07-14,24.9561824798584,25.083727065511518,24.9561824798584,25.083727065511518,333
2010-07-15,24.573545455932617,24.7223465517395,24.573545455932617,24.7223465517395,167
2010-07-16,24.148393630981445,24.403480011858054,23.935817592392684,24.403480011858054,2500
2010-07-19,24.148393630981445,24.148393630981445,24.148393630981445,24.148393630981445,0
2010-07-20,25.12623405456543,25.12623405456543,24.743600390055242,24.743600390055242,1800
2010-07-21,25.508869171142578,25.508869171142578,25.3813246090455,25.3813246090455,267
2010-07-22,26.57174301147461,26.656771832266433,26.01905162180153,26.01905162180153,2000
2010-07-23,26.890600204467773,27.16694585548721,26.401678480648417,27.16694585548721,4733
2010-07-26,27.209463119506836,27.655866409900312,27.039402792439894,27.655866409900312,1300
2010-07-27,27.25197410583496,27.698380065367502,26.996884986102078,27.29448986012944,3333
