Price,Close,High,Low,Open,Volume
Ticker,HINDZINC.NS,HINDZINC.NS,HINDZINC.NS,HINDZINC.NS,HINDZINC.NS
Date,,,,,
2010-01-04,41.2126350402832,41.59795825860568,40.75399658125919,41.4854319427878,2190270
2010-01-05,42.334503173828125,43.03354092370911,41.430866471217335,41.601363864103,3840840
2010-01-06,41.90825653076172,42.878387039364284,41.703660195046965,42.72323379916037,1292360
2010-01-07,43.918426513671875,44.39070245866257,42.283357002356084,42.31063721189905,6228300
2010-01-08,43.04035949707031,43.988324524048366,42.8630407630323,43.988324524048366,2325550
2010-01-11,43.60981750488281,44.19292080521724,43.17675532566426,43.71552504278063,1633600
2010-01-12,44.35150146484375,44.80672673193376,43.23815335048115,43.81784362630427,2917960
2010-01-13,43.98662567138672,44.15882972257735,43.00115343941217,43.6456334488582,1011420
2010-01-14,44.07357406616211,44.80671074112149,43.92182889584149,44.15882275874656,748980
2010-01-15,44.455501556396484,45.25002026396989,44.124736101217074,44.29182546824832,1372550
2010-01-18,43.974693298339844,44.80671626996965,43.886031317084665,44.43162509821468,2249050
2010-01-19,43.42399597167969,44.670331915354545,43.17336451196677,44.32592893937709,978710
2010-01-20,42.095802307128906,44.04970083552099,41.840056235757324,43.55185139702458,2029280
2010-01-21,40.351619720458984,42.62435039575047,39.896391970422435,42.0958074102096,2688190
2010-01-22,40.38401794433594,40.84777112267942,38.39601745498244,40.237390062924625,2080070
2010-01-25,42.04636001586914,42.52204657302522,39.794088426198684,40.74887481822142,2709980
2010-01-27,40.0191535949707,41.942364234677996,39.43605274584942,41.942364234677996,3103020
2010-01-28,38.01921844482422,40.544284674147896,37.5162490033644,40.23738881540849,6034990
2010-01-29,37.9424934387207,38.36191822265202,36.4335928829135,37.51284182776754,2446500
2010-02-01,37.91692352294922,39.19395021592195,37.0422708706366,37.6816362359916,1725760
2010-02-02,37.47191619873047,39.332043349631675,37.238335606733685,38.701203526398636,1612120
2010-02-03,38.498313903808594,38.76770011124187,37.168433647481024,37.88452221578544,2403150
2010-02-04,36.75754165649414,38.80521753085601,36.55464929110459,38.327824189042545,2058780
2010-02-05,35.108821868896484,35.80445152500083,33.79258182375548,35.80445152500083,3459900
2010-02-08,36.31764221191406,37.13432603432926,35.062781521151315,35.872643992186944,1903150
2010-02-09,36.844486236572266,37.85041977555953,35.8470754856369,36.78651514800072,1346610
2010-02-10,35.52313232421875,37.41735843529257,35.18725225706319,37.41735843529257,1730770
2010-02-11,36.57169723510742,36.86154233390332,35.52313912424502,36.14545367758869,1806810
2010-02-15,36.051673889160156,36.92973704012607,35.836848106619705,36.656940165701286,788660
2010-02-16,36.59556198120117,36.75924063056568,35.9749515467332,36.31594634812404,807840
2010-02-17,37.649234771728516,38.08400103338144,37.168430884915765,37.33892827429611,1749630
2010-02-18,38.029449462890625,38.44375693831968,37.17866641368441,37.47533285646442,2721830
2010-02-19,36.72684097290039,37.850418074237574,36.48643904453532,37.475324361386164,590350
2010-02-22,37.12409973144531,37.98681604111309,36.82743335947944,37.31846663677923,978410
2010-02-23,37.703800201416016,38.259620866527264,36.60920705262585,36.60920705262585,1291830
2010-02-24,37.69527053833008,38.05502016590566,37.00475552975522,37.00475552975522,1129460
2010-02-25,37.46168518066406,38.43010906682116,37.11898637758916,38.08911430100524,1586560
2010-02-26,38.326107025146484,38.733595681819494,37.00475225706835,37.04226189086952,695170
2010-03-02,38.75235366821289,39.139383502315695,38.53241316255716,38.66881160557326,588930
2010-03-03,39.62700271606445,40.13508420526235,38.7762198110278,39.04390195968625,1583390
2010-03-04,41.935543060302734,42.2833566233137,39.89639294296534,39.89639294296534,3940230
2010-03-05,41.940650939941406,42.45384711101859,41.19387159198784,42.07875339983232,1969530
2010-03-08,41.81789016723633,42.6243419892292,41.604768457290184,42.6243419892292,615460
2010-03-09,41.227970123291016,42.522044584288516,41.09839305394712,42.45384667444088,606610
2010-03-10,40.699440002441406,41.69684834186294,40.47608619839494,40.919380528082826,729370
2010-03-11,41.9287223815918,42.07705429446386,40.237388401644935,40.23909243915951,1372630
2010-03-12,42.63117599487305,42.93125313487358,41.788920881093816,41.92872742002508,2946110
2010-03-15,43.4359130859375,43.57742622839399,42.6004769358413,42.863041765373815,2905470
2010-03-16,43.05740737915039,43.66096696215782,42.82894151338253,43.58253962391922,841560
2010-03-17,42.777801513671875,43.57914146662208,42.62435487674924,43.53822114937011,997080
2010-03-18,42.68061447143555,43.20404013682343,42.184466412854945,42.89714689796652,1475520
2010-03-19,42.27653503417969,42.78802721706584,42.08216810874631,42.35496237866865,1381540
2010-03-22,42.18446731567383,42.75051994477729,41.541691375214135,41.601366507148946,1072530
2010-03-23,41.37119674682617,42.9244283029553,41.12909072949558,42.60730300670288,1753080
2010-03-25,41.4206428527832,41.60136969833398,40.74888261435173,41.26037486474108,1174260
2010-03-26,40.738651275634766,41.770161119209526,40.57838329510653,41.53316982503676,1749380
2010-03-29,41.101810455322266,41.56726764007375,40.578382175972756,40.98757490518093,698300
2010-03-30,41.28422927856445,41.94234917042387,41.08986239866728,41.54509002259532,616720
2010-03-31,41.06769943237305,41.73775542895017,40.8716285034601,41.43085965195238,1051660
