Date,copper_Close,zinc_proxy_Close,usdinr_Close,crude_Close,copx_Close
2010-04-20,3.51200008392334,41.71900939941406,44.38999938964844,83.44999694824219,31.205854415893555
2010-04-21,3.532999992370605,41.90996551513672,44.400001525878906,83.68000030517578,30.71693420410156
2010-04-22,3.484499931335449,41.6815071105957,44.43999862670898,83.69999694824219,30.5468692779541
2010-04-23,3.5114998817443848,41.47178268432617,44.290000915527344,85.12000274658203,30.65316200256348
2010-04-26,3.5269999504089355,42.46578979492188,44.25,84.19999694824219,31.120819091796875
2010-04-27,3.3635001182556152,41.7718620300293,44.45000076293945,82.44000244140625,29.569034576416016
2010-04-28,3.367500066757202,41.20581817626953,44.5,83.22000122070312,29.632797241210938
2010-04-29,3.3334999084472656,41.94235610961914,44.45000076293945,85.16999816894531,29.65406036376953
2010-04-30,3.337500095367432,42.51010894775391,44.25,86.1500015258789,28.95256996154785
2010-05-03,3.2785000801086426,41.47690582275391,44.400001525878906,86.19000244140625,28.527420043945312
2010-05-04,3.164499998092652,39.800907135009766,44.54999923706055,82.73999786376953,26.69928359985352
2010-05-05,3.138000011444092,39.018333435058594,44.84999847412109,79.97000122070312,26.21036720275879
2010-05-06,3.1034998893737797,38.5068473815918,45.459999084472656,77.11000061035156,24.9561824798584
2010-05-07,3.13100004196167,36.830848693847656,45.417999267578125,75.11000061035156,24.892406463623047
2010-05-10,3.2149999141693115,38.1845932006836,44.76300048828125,76.80000305175781,26.95438003540039
2010-05-11,3.194000005722046,38.01069641113281,44.9900016784668,76.37000274658203,26.57174301147461
2010-05-12,3.1760001182556152,37.94589614868164,44.95000076293945,75.6500015258789,26.826828002929688
2010-05-13,3.219500064849853,37.8231315612793,44.93999862670898,74.4000015258789,27.01814079284668
2010-05-14,3.122999906539917,36.87007141113281,45.25,71.61000061035156,25.95527648925781
2010-05-17,2.9230000972747803,35.95960998535156,45.52799987792969,70.08000183105469,24.87114715576172
2010-05-18,3.0225000381469727,34.52913284301758,45.560001373291016,69.41000366210938,24.25468635559082
2010-05-19,2.950000047683716,32.9588623046875,46.27299880981445,69.87000274658203,23.44690322875977
2010-05-20,2.935499906539917,32.21207427978516,46.7400016784668,68.01000213623047,22.19271850585937
2010-05-21,3.051500082015991,33.10377502441406,46.917999267578125,70.04000091552734,23.531932830810547
2010-05-24,3.1364998817443848,33.34929275512695,46.810001373291016,70.20999908447266,23.44690322875977
2010-05-25,3.033499956130981,31.555667877197266,47.47999954223633,68.75,23.128042221069336
2010-05-26,3.071500062942505,31.77900695800781,47.09999847412109,71.51000213623047,23.914566040039062
2010-05-27,3.15149998664856,32.24275207519531,46.720001220703125,74.55000305175781,25.530122756958008
2010-05-28,3.0969998836517334,33.39191818237305,46.29999923706055,73.97000122070312,24.977436065673828
2010-06-01,3.053999900817871,32.1217041015625,47.08300018310547,72.58000183105469,24.594799041748047
2010-06-02,3.032000064849853,31.929044723510746,46.79999923706055,72.86000061035156,24.9561824798584
2010-06-03,2.938499927520752,33.165157318115234,46.5,74.61000061035156,24.53103256225586
2010-06-04,2.8125,32.93669128417969,46.86000061035156,71.51000213623047,23.04301071166992
2010-06-07,2.759000062942505,32.128536224365234,46.790000915527344,71.44000244140625,22.2352294921875
2010-06-08,2.7725000381469727,31.472118377685547,46.83000183105469,71.98999786376953,22.830440521240234
2010-06-09,2.8424999713897705,32.16092300415039,46.810001373291016,74.37999725341797,22.936723709106445
2010-06-10,2.8554999828338623,32.88212966918945,46.75,75.4800033569336,24.25468635559082
2010-06-11,2.899499893188477,32.904293060302734,46.75,73.77999877929688,24.23342704772949
2010-06-14,2.990000009536743,33.550479888916016,46.400001525878906,75.12000274658203,25.083721160888672
2010-06-15,3.002500057220459,33.91193389892578,46.400001525878906,76.94000244140625,25.402587890625
2010-06-16,2.99399995803833,34.566646575927734,46.40999984741211,77.66999816894531,25.466354370117188
2010-06-17,2.9024999141693115,34.47798538208008,46.09000015258789,76.79000091552734,25.019948959350582
2010-06-18,2.88100004196167,33.211181640625,46.0099983215332,77.18000030517578,25.211265563964844
2010-06-21,2.938999891281128,34.6177864074707,45.65999984741211,77.81999969482422,25.636415481567383
2010-06-22,2.990499973297119,34.191551208496094,46.02000045776367,77.20999908447266,24.977436065673828
2010-06-23,2.934000015258789,33.939208984375,46.150001525878906,76.3499984741211,24.82863426208496
2010-06-24,3.003000020980835,33.24357604980469,46.2599983215332,76.51000213623047,24.82863426208496
2010-06-25,3.0929999351501465,32.83439254760742,46.150001525878906,78.86000061035156,24.339710235595703
2010-06-28,3.06850004196167,33.514678955078125,46.09999847412109,78.25,24.23342704772949
2010-06-29,2.9154999256134038,33.044097900390625,46.40999984741211,75.94000244140625,22.745407104492188
2010-06-30,2.936000108718872,33.0577392578125,46.400001525878906,75.62999725341797,22.0864315032959
2010-07-01,2.865000009536743,32.47122573852539,46.40999984741211,72.94999694824219,22.0864315032959
2010-07-02,2.9040000438690186,32.0773811340332,46.560001373291016,72.13999938964844,22.34151840209961
2010-07-06,2.9600000381469727,32.394508361816406,46.59999847412109,71.9800033569336,22.554088592529297
2010-07-07,3.005500078201294,32.13534164428711,46.95000076293945,74.06999969482422,23.7445011138916
2010-07-08,3.006999969482422,32.4354248046875,46.650001525878906,75.44000244140625,23.72324752807617
2010-07-09,3.0445001125335693,32.812225341796875,46.52000045776367,76.08999633789062,24.72234535217285
2010-07-12,2.999500036239624,33.15321731567383,46.65999984741211,74.94999694824219,24.80738067626953
2010-07-13,3.009500026702881,33.538543701171875,46.40999984741211,77.1500015258789,25.317550659179688
2010-07-14,3.000999927520752,33.02024459838867,46.59999847412109,77.04000091552734,24.9561824798584
2010-07-15,3.005000114440918,33.2043571472168,46.45000076293945,76.62000274658203,24.573545455932617
2010-07-16,2.923500061035156,33.2640380859375,46.70000076293945,76.01000213623047,24.148393630981445
2010-07-19,2.932499885559082,33.37828063964844,46.09000015258789,76.54000091552734,24.148393630981445
2010-07-20,2.997499942779541,33.41407012939453,47.25,77.44000244140625,25.12623405456543
2010-07-21,3.086999893188477,34.426841735839844,47.06999969482422,76.55999755859375,25.508869171142575
2010-07-22,3.1605000495910645,34.56576156616211,47.040000915527344,79.30000305175781,26.57174301147461
2010-07-23,3.184999942779541,34.076942443847656,46.88999938964844,78.9800033569336,26.890600204467773
2010-07-26,3.2249999046325684,34.27933120727539,47.042999267578125,78.9800033569336,27.20946311950684
2010-07-27,3.2049999237060547,34.258758544921875,46.64799880981445,77.5,27.25197410583496
2010-07-28,3.240000009536743,34.4697151184082,46.68999862670898,76.98999786376953,27.166940689086918
2010-07-29,3.2855000495910645,34.36852264404297,46.459999084472656,78.36000061035156,27.20946311950684
2010-07-30,3.306999921798706,35.07173156738281,46.36000061035156,78.94999694824219,27.464550018310547
2010-08-02,3.384999990463257,35.91559600830078,46.0880012512207,81.33999633789062,28.272335052490234
2010-08-03,3.3550000190734863,37.028751373291016,46.12799835205078,82.55000305175781,28.272335052490234
2010-08-04,3.400500059127808,36.761173248291016,46.12799835205078,82.47000122070312,28.676225662231445
2010-08-05,3.3505001068115234,38.07499313354492,46.0,82.01000213623047,28.378623962402344
2010-08-06,3.3394999504089355,37.47125625610352,46.055999755859375,80.69999694824219,28.42112922668457
2010-08-09,3.3505001068115234,38.30140686035156,45.95800018310547,81.4800033569336,28.527420043945312
2010-08-10,3.311000108718872,39.423118591308594,46.07799911499024,80.25,27.953468322753903
2010-08-11,3.252500057220459,38.66501235961914,46.310001373291016,78.0199966430664,26.35916519165039
2010-08-12,3.282500028610229,38.30311584472656,46.59000015258789,75.73999786376953,26.23162651062012
2010-08-13,3.251499891281128,38.342559814453125,46.709999084472656,75.38999938964844,26.25288772583008
2010-08-16,3.2769999504089355,37.29803085327149,46.62799835205078,75.23999786376953,26.44419288635254
2010-08-17,3.337500095367432,37.08363342285156,46.68299865722656,75.7699966430664,27.59209251403809
2010-08-18,3.3489999771118164,37.656494140625,46.608001708984375,75.41999816894531,27.464550018310547
2010-08-19,3.317500114440918,39.00975036621094,46.53799819946289,74.43000030517578,26.7843074798584
2010-08-20,3.2909998893737797,38.5363655090332,46.358001708984375,73.45999908447266,26.401670455932617
2010-08-23,3.2915000915527344,38.61870574951172,46.608001708984375,73.0999984741211,26.44419288635254
2010-08-24,3.239500045776367,36.97214126586914,46.5629997253418,71.62999725341797,25.530122756958008
2010-08-25,3.2109999656677246,36.70457458496094,46.858001708984375,72.5199966430664,25.572641372680664
2010-08-26,3.305500030517578,36.4696044921875,46.87300109863281,73.36000061035156,25.721445083618164
2010-08-27,3.364000082015991,36.45073318481445,46.78799819946289,75.16999816894531,26.6355094909668
2010-08-30,3.4130001068115234,36.44558334350586,46.803001403808594,74.69999694824219,26.592992782592773
2010-08-31,3.361000061035156,35.893310546875,46.87300109863281,71.91999816894531,26.35916519165039
2010-09-01,3.4684998989105225,38.24651336669922,47.02799987792969,73.91000366210938,28.272335052490234
2010-09-02,3.48799991607666,37.16766357421875,46.650001525878906,75.0199966430664,28.33610725402832
2010-09-03,3.493499994277954,37.087059020996094,46.59999847412109,74.5999984741211,28.803768157958984
2010-09-07,3.463500022888184,38.00467300415039,46.51300048828125,74.08999633789062,28.44239044189453
2010-09-08,3.490499973297119,37.61532974243164,46.65999984741211,74.66999816894531,28.71873664855957
2010-09-09,3.433500051498413,37.3889274597168,46.51800155639648,74.25,28.931310653686523
2010-09-10,3.3970000743865967,37.3889274597168,46.303001403808594,76.44999694824219,29.080121994018555
2010-09-13,3.4714999198913574,37.85031127929688,46.28300094604492,77.19000244140625,30.22801399230957
2010-09-14,3.4595000743865967,37.73024368286133,46.22999954223633,76.80000305175781,30.29178237915039
